
Copyright 2016 Prifysgol Bangor University

   Licensed under the Apache License, Version 2.0 (the "License");
   you may not use this file except in compliance with the License.
   You may obtain a copy of the License at

       http://www.apache.org/licenses/LICENSE-2.0

   Unless required by applicable law or agreed to in writing, software
   distributed under the License is distributed on an "AS IS" BASIS,
   WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
   See the License for the specific language governing permissions and
   limitations under the License.

'C' / 'S' scroll	sgrôl 'C' / 'S'
cough and a spit	manion
coulomb	coulomb
coulomb	cwlomb
coulombmeter	coulombmedr
coulter	cwlltwr
coulter	cwlltwr
council	cyngor
council	cyngor
council estate	stad cyngor
council house estate	stad dai cyngor
council on tribunals	cyngor ar dribiwnlysoedd
council school	ysgol gyngor
council state	stâd gyngor
councillor	cynghorwr
councillor	cynghorydd
councillor	cynghorydd
counsel	cwnsela
counsel	cwnsler
counsel	cynghori
counsel	cynghori
counsel	cyngor
counsel for defence	cyfreithiwr y diffynnydd
counsel for prosecution	cyfreithiwr yr erlynydd
counsel's opinion	barn cwnsler
counselling model	model cwnsela
counselling service	gwasanaeth cynghori
counselling technique	techneg gynghori
counsellor	cwnsler
counsellor	cynghorwr
counsellor	cynghorwr
counsellor training	hyfforddi cynghorwyr
count	cownt
count	cyfri
count	cyfrif
count	cyfrif
count	cyfrifiad
count	iarll
count	rhifo
count out	cowntio allan
count out	cyfrif allan
count rate	cyfradd cyfrif
count-down	cyfri'n ôl
countability	rhifadwyedd
countability	rhifadwyedd
countable	rhifadwy
countable	rhifadwy
countably infinite	yn rhifadwy anfeidraidd
counted thread stitch	pwyth cyfrif edau
countenance	cefnogi
countenance	gwedd
counter	cownter
counter	croes
counter	gwrth
counter	gwrthiad
counter	gwrthio
counter	gwrthwynebu
counter	masnachdy
counter	rhifydd
counter	rhifydd
counter change design	patrwm gwrthgyfnewid
counter clerk	clerc cownter
counter enamel	enamel cefndir
counter exposition	gwrthddangosiad
counter official	swyddog cownter
counter parry	gwrthbario
counter revolution	gwrthchwyldro
counter riposte	riposte gwrthol
counter riposte	ripóst gwrthol
counter ruck	gwrthrycio
counter spit	gwrthdafod
counter veneer	gwrthargaen
counter-	gwrth-
counter-attack	gwrthymosod
counter-attack	gwrthymosodiad
counter-attraction	gwrthatyniad
counter-claim	gwrthgais
counter-claim	gwrthgeisio
counter-clockwise	gwrthglocwedd
counter-current	gwrthgerrynt
counter-current flow	llif gwrthgerrynt
counter-example	gwrthenghraifft
counter-exposition	gwrthddangosiad
counter-proposal	gwrthgynnig
counter-reformation	gwrthddiwygiad
counter-reformation	gwrthddiwygiad
counter-revolution	gwrthchwyldro
counter-revolutionary	gwrthchwyldroadol
counter-sign	adarwyddo
counter-sign	cydarwyddo
counter-spit	gwrthdafod
counter-subject	gwrthdestun
counter-urbanisation	gwrthdrefoli
counteract	gwrthweithio
counteract	gwrthweithio
counterattack	gwrthymosod
counterbalance	gwrthbwyso
counterbalance	gwrthgytbwys
counterbalance	gwrthgytbwys
counterbalanced	gwrthgytbwys
counterbore	gwrthdyllu
counterbore	gwrthdyllu
counterbored hole	twll gwrthfor
counterchange	gwrthgyfnewid
counterchange	gwrthgyfnewid
counterchange	gwrthgyfnewidiad
counterchange	gwrthgyfnewidiad
counterchange design	cynllun gwrthgyfnewid
counterchange pattern	patrwm gwrthgyfnewid
countercharge	gwrthgyhuddiad
countercharge	gwrthgyhuddo
counterfactor	gwrthffactor
counterfeit	ffug
counterfeit	ffugio
counterfeit	ffugiol
counterfeit	llwgr
counterfeit money	arian bath
counterflow	gwrthlif
counterfoil	bonyn
counterfoil	bonyn
countermelody	cyfalaw
counterpane	cwrlid
counterpart	cymar
counterpart	gwrthran
counterplot	gwrthblot
counterpoint	gwrthbwynt
counterpoint	gwrthbwynt
counterproof	gwrthbrawf
countershading	gwrthliwio
countersink	gwrthsoddi
countersink	gwrthsoddi
countersink	gwrthsoddydd
countersink	gwrthsoddydd
countersink bit	ebill gwrthsoddi
countersink bit	ebill gwrthsoddi
countersink drill	dril gwrthsoddi
countersunk	gwrthsodd
countersunk	pengwrthsodd
countersunk head bolt	bollt ben gwrthsodd
countersunk head rivet	rhybed gwrthsoddedig
countersunk head rivet	rhybed pen gwrthsodd
countersunk hole	twll gwrthsodd
countersunk rivet	rhybed gwrthsodd
countersunk screw	sgriw benwastad
countersunk screw	sgriw wrthsodd
countersunk screw	sgriw wrthsodd
countertenor	uwchdenor
countertransference	trawsdrosglwyddiad
counterweight	gwrthbwys
counterweight	gwrthbwysyn
counterweight system	system wrthbwyso
countess	iarlles
countess	iarlles
counting frame	ffrâm rifo
counting game	gêm gyfrif
counting song	cân gyfrif
counting tray	hambwrdd rhifo
countless	aneirif
countless	di-rif
countless	dirifedi
country	bro
country	gwlad
country	gwlad
country	gwladaidd
country	gwledig
country	gwledig
country and western	canu gwlad
country dance	dawns wledig
country dance	dawns wledig
country house	plasty yn y wlad
country music	canu gwlad
country rock	craig gysefin
country rock	craig gysefin
country seat	plas
country town	tref wledig
country town	tref wledig
countryman	gwladwr
countryside	cefn gwlad
countryside	cefn gwlad
countryside area	ardal wledig
countryside recreation	adloniant cefn gwlad
county	sir
county	sir
county	sirol
county	swydd
county college	coleg sir
county committee	pwyllgor sirol
county community	cymuned sirol
county councillor	cynghorydd sir
county court	llys sirol
county court claim form	ffurflen hawlio'r llys sirol
county farm	fferm sirol
county palatine	iarllaeth balatin
county palatine	iarllaeth balatin
county record office	archifdy'r sir
county school	ysgol sir
coup de grâce	ergyd farwol
coup de grâce	ergyd marwol
couple	cwpl
couple	cwpl
couple	cyplu
couple	cyplu
couple	cyplysu
couple	pâr
couple family	teulu cwpl
coupled	cypledig
coupled	cypledig
coupler	cyplwr
coupler	cyplydd
coupler stop	stop cyplu
couplet	cwpled
couplet	cwpled
coupling	cyplydd
coupling	cyplydd
coupling	cysylltydd
coupling flange	fflans gyplydd
coupling of valves	cyplysu falfiau
coupon	cwpon
coupon	cwpon
courage	dewrder
courage	glewder
courage	gwroldeb
courageous	dewr
courageous	glew
courageous	gwrol
courante	courante
courgettes	courgettes
courier	tywyswr
course	cwrs
course	cwrs
course	hela
course	hynt
course	rhedeg
course	saig
course	ymlid
course of bricks	cwrs o frics
course of treatment	cwrs o driniaeth
course team	tîm y cwrs
courseware	meddalwedd cyrsiau
coursework	gwaith cwrs
court	caru
court	cwrt
court	cwrt
court	llys
court	llys
court and country	llys a gwlad
court leet	cwrt lit
court martial	cwrt-marsial
court martial	dodi ar brawf
court of common pleas	cwrt pledion cyffredin
court of competent jurisdiction	llys ag awdurdod digonol
court of competent jurisdiction	llys ag awdurdod digonol
court of law	llys barn
court of protection	llys gwarchod
court of special jurisdiction	llys awdurdod arbennig
court poet	bardd llys
court-baron	cwrt barwn
court-baron	llys brëyr
courtelle	courtelle
courteous	cwrtais
courteous	cwrtais
courteous	moesgar
courtesy	cwrteisi
courtesy	moesgarwch
courtesy of	trwy garedigrwydd
courtier	gŵr llys
courtier	gŵr llys
courtly	boneddigaidd
courtship	carwriaeth
courtyard	beili
courtyard	buarth
courtyard	clos
courtyard	cwrt
courtyard	iard
cousin	cefnder
cousin	cefnder
cousin	cyfnither
cousin	cyfnither
covalency	cofalens
covalent	cofalent
covalent	cofalent
covalent bond	bond cofalent
covariance	cydamrywiad
covariance	cydamrywiant
covariate	cyd-newidyn
cove	cildraeth
cove	cildraeth
cove	cilfwa
covenant	cyfamod
covenant	cyfamod
covenant	cyfamodi
covenanter	cyfamodwr
covenantor	cyfamodwr
cover	clawr
cover	clawr
cover	cyflenwad
cover	cyflenwi dros dro
cover	cyfro
cover	cyfro
cover	gorchudd
cover	gorchudd
cover	gorchuddio
cover	gorchuddio
cover	sicrwydd yswiriant
cover	ymdrin â
cover board	bwrdd clawr
cover board	bwrdd clawr
cover crop	cnwd gorchudd
cover crop	cnwd gorchudd
cover drive	dreif gyfar
cover note	nodyn diogelu
cover paper	papur clawr
cover paper	papur clawr
cover point	cyfar
cover slip	arwydryn
cover-land	tir gorchudd
cover-point	cyferbwynt
cover-up	gwarchod
coverage	sylw
covered	gorchuddiedig
covered button	botwm defnydd
covered button	botwm gorchudd
covering letter	cyflythyr
covering letter	llythyr eglurhaol
coverlet	cwilt
coverlet	cwrlid
coverlet	cwrlid
coversine	cyfersin
coversine	cyfersin
coverslip	arwydryn
covert	lloches
covert sensitization	sensiteiddio cudd
covet	chwennych
coveted	dymunol
covetous	trachwantus
covetousness	trachwant
covey	haid
cow	buwch
cow	buwch
cow horn	corn gwartheg
cow in heat	buwch derfenydd
cow in heat	buwch wasod
cow's milk	llaeth buwch
cow's tongue stake	bonyn tafod buwch
cow's tongue stake	bonyn tafod buwch
coward	cachadur
coward	cachgi
coward	llwfrgi
cowardice	llwfrdra
cowardly	anŵraidd
cowardly	llwfr
cowbells	clychau gwartheg
cowboy	cowboi
cower	cyrcydu
cower	swatio
cowhouse	beudy
cowl	cwcwll
cowl	cwfl
cowl	cwfl
cowl collar	coler cwfl
cowl neck	gwddf cwfl
cowman	cowmon
cowpox	brech y fuwch
cowpox	cowpog
cowslip	briallen Fair sawrus
cox	cocs
cox	cocs
cox	cocsio
cox	cocsio
coxa	cocsa
coxcomb	coegyn
coxcomb	ysgogyn
coxed four	pedwar a chocs
coxed four	pedwar â llywiwr
coxed pair	pâr a chocs
coxed pair	pâr â llywiwr
coxless four	pedwar
coxless four	pedwar heb lywiwr
coxless pair	pâr
coxless pair	pâr heb lywiwr
coxswain	cocs
coy	swil
coyness	swildod
crab	cranc
crab	cranc
crab	cranca
crab	crancio
crab	dal crancod
crab-apple	afal sur bach
crabbed	crablyd
crabbed	sarrug
crack	crac
crack	crac
crack	cracio
crack	cracio
crack	darnio
crack	hollt
crack	hollti
cracked enamel	enamel cracellu
cracker	cracer
cracker	cracydd
cracker	darniwr
crackle	clecian
crackle	clindarddach
crackle	cracellu
cradle	cawell
cradle	crud
cradle	crud
cradle	crudio
cradle	crudo
cradle	crudo
cradle V	crud V
cradle cap	crudgen
cradle song	hwiangerdd
cradling	crud
cradling	crudiad
cradling piece	darn crudiad
craft	awyren
craft	bad
craft	bad
craft	crefft
craft	crefft
craft	cwch
craft	llong
craft	ystryw
craft dye	llifyn crefft
craft guild	gild crefft
craft knife	cyllell grefft
craft paint	paent crefft
craft process	proses grefft
craft skill	sgìl crefft
craftiness	cyfrwystra
craftsman	crefftwr
craftsman	crefftwr
craftsmanship	crefftwaith
craftsmanship	crefftwriaeth
craftsmanship	crefftwriaeth
craftwork	crefftwaith
craftworker	crefftwr
crafty	cyfrwys
crag	clegyr
crag	clegyr
crag	clogwyn
crag	craig
crag and tail	clegyr a chynffon
crag and tail	clegyr a chynffon
craggy	clegyroc
craggy	clegyrog
craggy	creigiog
cram	gorlenwi
cram	gwthio
cram	saco
cramp	caethiwo
cramp	cramp
cramp	cramp
cramp	crampio
cramp	cwlwm gwythi
cramp	gwrwst
cramped	clos
cramping	cyfyngol
cramping action	arwaith crampio
cramping blocks	blociau crampio
crampon	crampon
crampon	crampon
cranberries	llugaeron
cranberry	llugaeronen
crane	craen
crane	craen
crane	crychydd
crane	garan
cranial	cranial
cranial	creuanol
cranial nerve	nerf cranial
cranial nerve	nerf creuanol
cranio-sacral therapy	therapi creuanol-sacrol
cranium	craniwm
cranium	creuan
cranium	creuan
crank	camdro
crank	cracio
crank	cranc
crank	cranc
crank	darnio
crank	hollti
crank pin	crancbin
crank pivot	crancgolyn
crank spanner	sbaner cranc
cranked	cam
cranked centre hinge	colfach canol camdro
cranked handle	dolen gamdro
cranked palette knife	cyllell balet gam
crankshaft	crancsiafft
crankshaft	crancsiafft
crankshaft	crancwerthyd
cranny	agen
cranny	hollt
crash	chwalfa
crash	chwalfa
crash	chwalu
crash	chwalu
crash	cwymp
crash	cwymp
crash	cwympo
crash	gwrthdaro
crash	gwrthdrawiad
crash box	cist ddadwrdd
crash course	cwrs carlam
crass	dybryd
crass	tew
cratch	cratsh
cratch	rhesel
crate	cawell
crate	cawell
crater	crater
crater	crater
crating	cawell
crating	cawellu
craton	tarian
cravat	crafat
crave	blysio
crave	crefu
craving	blys
craving	chwant
craving	gwanc
crawfish	cimwch coch
crawl	cropian
crawl	cropian
crawl	ymlusgo
crawl enamel	enamel llusg
crawl enamelling	enamlo llusg
crawler	ymlusgwr
crawling	ymlusgo
crayfish	cimwch coch
crayfish	cimwch yr afon
crayon	creon
crayon	creon
crayon engraving	ysgythriad creon
crayon pencil	pensil creon
craze	cracellu
craze	ysfa
crazing	cracellu
crazy	gorffwyll
crazy	penwan
creak	crecian
creak	gwichian
cream	hufen
cream	hufen
cream	hufennu
cream cracker	bisged gracer
cream horn	corn hufen
cream of tartar	hufen tartar
cream of tartar	powdr tartar
cream slice	tafell hufen
cream soup	cawl hufen
creamed method	dull hufen
creamed potatoes	tato hufennog
creamed potatoes	tatws hufennog
creamery	hufenfa
creaming method	dull hufennu
creamy	hufennog
creamy	hufennog
creamy consistency	ansawdd hufennog
crease	cris
crease	crych
crease	crych
crease	crychiad
crease	crychu
crease	crychu
crease	crîs
crease recovery	datgrychu
crease resistant	gwrthgrych
crease resisting	gwrthgrych
crease-resistant	gwrthgrych
creasing hammer	morthwyl crychu
creasing iron	bonyn crychu
creasing stake	bonyn crychu
creasing stake	bonyn crychu
creasing tool	erfyn crychu
create	creu
create	creu
create a part	creu part
create autoabstract	creu awtogrynodeb
create back-up	creu copi wrth gefn
create characters	creu cymeriadau
create control	creu rheolydd
create datapilot table	creu tabl databeilot
create directory	creu cyfeiriadur
create document	creu dogfen
create extrusion object	creu gwrthrych allwthiad
create form	creu ffurflen
create from file	creu o ffeil
create group	creu grŵp
create link	creu cyswllt
create master document	creu meistrddogfen
create mode	modd creu
create mode	modd creu
create new folder	creu ffolder newydd
create new section	creu adran newydd
create new template	creu templed newydd
create primary key	creu allwedd gynradd
create rotation object	creu gwrthrych troi
create style	creu arddull
create summary	creu crynodeb
create table	creu tabl
create target directory	creu cyfeiriadur targed
create template	creu templed
create title page	creu tudalen deitl
creation	cread
creation	creadigaeth
creation	creadigaeth
creation date	dyddiad creu
creation date	dyddiad creu
creationism	creadaeth
creative	creadigol
creative	creadigol
creative ability test	prawf gallu creadigol
creative approach	agwedd greadigol
creative arts	celfyddydau creadigol
creative craftwork	crefftwaith creadigol
creative design	cynllun creadigol
creative expression	mynegiant creadigol
creative movement	symud creadigol
creative play	chwarae creadigol
creative response	ymateb creadigol
creative skill	sgìl creadigol
creative thinking	meddwl creadigol
creative work	gwaith creadigol
creative work	gwaith creadigol
creative writing	ysgrifennu creadigol
creativeness	creadigrwydd
creativity	creadigedd
creativity	creadigrwydd
creativity	creugarwch
creativity test	prawf creadigrwydd
creator	creawdwr
creator	creawdwr
creator	crëwr
creature	creadur
credence	cred
credence	credfwrdd
credential	llythyr cyflwyno
credibility	credadwyaeth
credibility	hygrededd
credible	credadwy
credit	canmoliaeth
credit	clod
credit	coel
credit	cred
credit	credyd
credit	credyd
credit	credydu
credit	cyfrif yn gredyd
credit	ffydd
credit accumulation	casglu credydau
credit agreement	cytundeb credyd
credit buying	prynu ar goel
credit buying	prynu ar gredyd
credit buying	prynu ar gredyd
credit by fraud	coel drwy dwyll
credit card	cerdyn credyd
credit card	cerdyn credyd
credit control	rheolaeth credyd
credit control system	system rheoli credyd
credit controller	rheolwr credyd
credit creation	creu credyd
credit exemption	esgusodi rhag credyd
credit list	rhestr ddiolchiadau
credit note	nodyn credyd
credit sale	gwerthiant credyd
credit scheme	cynllun credydau
credit squeeze	gwasgfa gredyd
credit terms	telerau credyd
credit transfer	trosglwyddiad credyd
credit transfer	trosglwyddiad credyd
credit worthiness	teilyngdod credyd
credit worthy	yn teilyngu credyd
creditable	cymeradwy
creditor	credydwr
creditor	credydwr
creditor	echwynnwr
credits	clodrestr
credits	clodrestr
credulity	hygoeledd
credulous	hygoelus
creed	credo
creed	credo
creek	cilfach
creek	cilfach
creek	nant
creel	cawell
creel	rhesel sbwliau
creep	cropian
creep	ymgripiad
creep	ymgripiad
creep	ymlusgo
creep feeding	didol borthi
creep feeding of lambs	didol borthi ŵyn bach
creep feeding of suckling pigs	didol borthi moch bach
creeper	dringiedydd
creeping	ymgripiol
creepy	iasol
cremate	amlosgi
cremation	amlosgiad
cremation	amlosgiad
crematorium	amlosgfa
crematorium	crematoriwm
crenellate	crenellu
crenellated	crenellog
creosote	creosot
creosote oil	olew creosot
crepitation	clec
crepitation	rhugliad
crescent	cilgant
crescent	cilgant
crescent moon	lleuad gilgant
crescent moon	lleuad gilgant
crescentic	cilgantaidd
crescentic	cilgantaidd
crescentic dune	twyn cilgantaidd
cress	berwr
cress	berwr
cresset	cresed
crest	brig
crest	brig
crest	crib
crest	crib
crested chain stitch	pwyth cadwyn cribog
crested chain stitch	pwyth cirbog
cresting	arwydd
cresting	trum tŷ
crestline	criblin
cretaceous	cretasaidd
cretin	cretin
cretinism	cretinedd
cretinism	cretinedd
cretonne	cretón
crevasse	agendor
crevasse	crefas
crevasse	gagendor
crevasse	hafn
crevice	agen
crevice	hollt
crevice tool	teclyn corneli
crew	ciwed
crew	criw
crewel needle	nodwydd frodio
crewel needle	nodwydd frodio
crewel wool	edafedd brodio
cri-du-chat syndrome	syndrom cri-du-chat
crib	copio
crib	cyfieithiad
crib	preseb
crib	rhesel
cribbage	cribej
crick	cric
cricket	criced
cricket	criced
cricket	criciedyn
cricket	cricsyn
cricket club	clwb criced
cricket field	maes criced
cricket shoe	esgid griced
cricketer	cricedwr
cricketer	cricedwr
crier	crïwr
crier	cyhoeddwr
crime	trosedd
crime	trosedd
crime scene analysis	dadansoddiad safle trosedd
crime squad	troseddlu
criminal	troseddol
criminal	troseddol
criminal	troseddwr
criminal	troseddwr
criminal consistency hypothesis	damcaniaeth cysondeb troseddau
criminal justice	cyfiawnder troseddol
criminal law	cyfraith trosedd
criminal law and justice	cyfraith troseddau a chyfiawnder
criminal procedure	trefn llys troseddau
criminal psychology	seicoleg troseddu
criminology	troseddeg
criminology	troseddeg
crimp	crebachu
crimp	crimpio
crimp	crimpio
crimson	coch
crimson	dugoch
crimson	rhuddgoch
crimson	rhuddgoch
crimson lake	llif rhuddgoch
cringe	ymgreinio
crinkle	crych
crinkle	crychu
crinkle	crychu
crinkle	plyg
crinkled paper	papur crych
crinoline	crinolin
cripple	efrydd
cripple	efryddu
crippling	efryddol
crisis	argyfwng
crisis	argyfwng
crisp	cras
crisp	crasu
crisp	creisionen
crisp	creisionen datws
crisp	creisionllyd
crisp claps	clapio clir
crispbread	tafell gras
crispness	craster
crisps	creision tatws
criss-cross	croesymgroes
criss-cross	croesymgroes
crista	crista
criteria instrument	offeryn meini prawf
criteria referencing	cyfeirio at feini prawf
criterion	criterion
criterion	maen prawf
criterion	maen prawf
criterion-referenced	maen prawf gyfeiriol
criterion-referenced assessment	asesiad maen prawf gyfeiriol
criterion-referenced test	prawf maen prawf gyfeiriol
criterion-referenced testing	profi maen prawf gyfeiriol
critic	adolygydd
critic	beirniad
critic	beirniad
critic	beirniadol
critic	critig
critic	critigol
critical	allweddol
critical	argyfyngus
critical	beirniadol
critical	beirniadol
critical	critigol
critical	critigol
critical and contextual studies	astudiaethau beirniadol a chyd-destunol
critical angle	ongl critigol
critical autonomy	annibyniaeth feirniadol
critical evaluation	gwerthusiad beirniadol
critical faculty	cynneddf feirniadu
critical incident	digwyddiad critigol
critical learning period	cyfnod dysgu allweddol
critical path analysis	dadansoddiad llwybr critigol
critical path method	dull llwybr critigol
critical path method [CPM]	dull llwybr critigol
critical period	cyfnod allweddol
critical point	adeg dyngedfennol
critical point	pwynt critigol
critical point	trobwynt
critical range	amrediad critigol
critical range	amrediad critigol
critical ratio	cymhareb gritigol
critical ratio	cymhareb gritigol
critical region	rhanbarth critigol
critical size	maint critigol
critical temperature	tymheredd critigol
critical thinker	meddyliwr beirniadol
criticism	beirniadaeth
criticism	beirniadaeth
criticize	beirniadu
critique	beirniadaeth
croak	crawc
croak	crawcian
crochet	crosio
crochet	crosio
crochet	gwaith crosio
crochet	gwaith crosio
crochet cotton	cotwm crosio
crochet hook	bach crosio
crochet hook	bach crosio
crocheted lace	les wedi'i grosio
crock	hen groc
crock	llestr pridd
crockery	llestri
crockery	llestri
crocket	croced
crocodile	crocodeil
crocus	crocws
crocus	saffrwm
crocus	saffrwn
crocus powder	powdr crocws
crocus powder	powdwr crocws
croft	crofft
croft	crofft
croft	crofftio
croft	tyddyn
crofter	crofftwr
crofter	crofftwr
crofting system	cyfundrefn grofftio
crofting system	system grofftio
crone	hen wrach
crook	bagl
crook	bagl
crook	troseddwr
crooked	cam
crooked	crwca
crooked grain	graen cam
crookedness	gwyrni
croon	crwno
crooner	crwner
crop	chwip
crop	cnwd
crop	cnwd
crop	cnydio
crop	crombil
crop	tocio
crop	tocio
crop rotation	cylchdro cnydau
cropper	codwm
cropper	cwymp
cropping	cnydio
croquet	croce
croquette	croquette
crosier	bagl
crosier	bagl esgob
crosier	bugeilffon
cross	croes
cross	croes
cross	croesi
cross	croesi
cross	croesiad
cross	croesiad
cross	traws
cross banded plinth	plinth bandin croes
cross banding	bandin croes
cross beam	trawst
cross breed	croesfridio
cross channel boat	cwch sianel
cross country	traws gwlad
cross country event	cystadleuaeth draws gwlad
cross country race	ras draws gwlad
cross country race	ras draws gwlad
cross cut	trawstoriad
cross cut	trawstorri
cross cut chisel	cŷn trawstor
cross cut chisel	gaing drawstor
cross cut darn	craith groes-doriad
cross elasticity	trawselastigedd
cross elasticity of demand	trawselastigedd y galw
cross examine a witness	croesholi tyst
cross feed	trawsborthiant
cross grain	graen croes
cross halving	haneru croes
cross halving joint	uniad croes hanerog
cross halving joint	uniad croes haneru
cross halving joint	uniad haneru croes
cross hatching	croeslinellu
cross hey	hai croes
cross infection	traws-heintiad
cross kick	cic groes
cross kick	cic groes
cross member	trawsaelod
cross multiply	trawsluosi
cross over	trawsgroesiad
cross peen	wyneb croes
cross peen hammer	morthwyl wyneb croes
cross piece	darn croes
cross pollination	croesbeilliad
cross pollination	trawsbeilliad
cross profile	trawsbroffil
cross rail	rheilen groes
cross slide	trawslithryn
cross slide	trawslithryn
cross stitch	pwyth croes
cross stitch	pwyth croes
cross stretcher	estynnwr croes
cross the goal line	croesi'r llinell gôl
cross the line	croesi'r llinell
cross tongue	tafod croes
cross tuck	twc croes
cross vault	fowt groes
cross wall	croesfur
cross wires	croeswifrau
cross-accent	croesacen
cross-bar	trawsbren
cross-bedded	trawshaenog
cross-bedded	trawswelyog
cross-bedding	trawshaenu
cross-border farmer	ffermwr trawsffiniol
cross-breeding	croesfridio
cross-channel boat	cwch sianel
cross-check	croeswiriad
cross-check	croeswirio
cross-compiler	traws-grynhoydd
cross-compiler	trawsgrynhöydd
cross-contamination	traws-halogiad
cross-cultural psychology	seicoleg drawsddiwylliannol
cross-culture study	astudiaeth drawsddiwylliannol
cross-curricular	trawsgwricwlaidd
cross-curricular	trawsgwricwlaidd
cross-curricular issue	mater trawsgwricwlaidd
cross-curricular theme	thema drawsgwricwlaidd
cross-curricularity	trawsgwricwledd
cross-cut	trawslifio
cross-cut	trawstorri
cross-cut chisel	cŷn trawstor
cross-cut darn	craith trawstoriad
cross-cut saw	llif draws
cross-cut saw	trawslif
cross-cut saw	trawslif
cross-examine	croesholi
cross-fade	croes-bylu
cross-fade	croesbylu
cross-fade attributes	priodoleddau croesbylu
cross-fade effect	effaith croesbylu
cross-fade from bottom	croesbylu o’r gwaelod
cross-fade from left	croesbylu o’r chwith
cross-fade from right	croesbylu o’r dde
cross-fade from top	croesbylu o’r brig
cross-feed lever	lifer trawsborthiant
cross-fertilization	croesffrwythloniad
cross-fertilization	trawsffrwythloni
cross-fertilize	croesffrwythloni
cross-filing	croesffeilio
cross-fire	croeslafar
cross-hair	croeslin
cross-hair cursor	cyrchwr croes
cross-hair cursor	cyrchwr traws
cross-hatch	croeslinellu
cross-hatching	croeslinellu
cross-hatching	croeslinellu
cross-lagged panel correlation	cydberthyniad panel dros amser
cross-laterality	trawsochredd
cross-legged	coesgroes
cross-legged	croesgoes
cross-linguistic	trawsieithyddol
cross-link	trawsgysylltiad
cross-linkage	trawsgyswllt
cross-linking	trawsgysylltu
cross-over	trawsgroesiad
cross-over index	indecs trawsgroesi
cross-post	trawsbostio
cross-ratio	cymhareb draws
cross-ratio	cymhareb groes
cross-reference	croesgyfeiriad
cross-reference	croesgyfeirio
cross-rhythm	trawsrythm
cross-road	croesffordd
cross-section	croestoriad
cross-section	trawslun
cross-section	trawstoriad
cross-section	trawstoriad
cross-sectional	trawstoriadol
cross-sectional study	astudiaeth drawstoriadol
cross-sequential design	cynllun trawsddilynol
cross-striated	croesresog
crossbar	croesfar
crossbar	trawst
crossbow	bwa croes
crossbow	bwa croes
crossed cheque	siec wedi'i chroesi
crossing	croesfan
crossing	croesfan
crossing	croesi
crossing	croesiad
crossing the line	croesi'r llinell
crossway facing	wynebyn croes
crossway fold	plyg croesraen
crossway strip	stribed croesraen
crosswise	ar groes
crossword	croesair
crotales	crotalau
crotch seam	sêm fforch
crotchet	crosiet
crotchet	crosiet
crouch	cwrcwd
crouch	cwrcwd
crouch	cyrcydu
crouch	cyrcydu
crouch jump	naid gwrcwd
crouch jump	naid gwrcwd
crouch-running	rhedeg gwargam
crouched burial	claddu cwrcwd
croup	crwper
croup	crŵp
croup	pedrain
croute	crwst
crouton	crouton
crow	brân
crow	canu
crow	cân
crow-bar	trosol
crowbar	trosol
crowd	crwth
crowd	crwth
crowd	torf
crowd	tyrfa
crowd	tyrru
crowdsource	torfoli
crown	copa
crown	coron
crown	coron
crown	coroni
crown	corun
crown	corun
crown fitting line	llinell ffitio pen
crown glass	gwydr crwm
crown guard	gard uchaf
crown land	tir y goron
crown of sleeve	pen llawes
crown of tooth	copa dant
crown plate	plât gwarchod
crown prince	edling
crown prosecution	erlynydd y goron
crown rail	rheilen warchod
crowned	coronog
crowning	coroni
crowning	coroniad
crowning	pennaf
crowning	prif
crownwheel	coronrod
crucial	hanfodol
crucial	terfynol
crucible	crwsibl
crucible	crwsibl
crucible furnace	ffwrnais grwsibl
crucible steel	dur crwsibl
crucible steel	dur crwsibl
crucible tongs	gefel grwsibl
crucifix	croes
crucifix	croeslun
crucifixion	croeshoeliad
crucifixion	croeshoeliad
cruciform	croesffurf
cruciform	croesffurf
crucify	croeshoelio
cruck	nenfforch
cruck	nenfforch
cruck framed house	tŷ ffrâm nenfforch
crucked	nenffyrchog
crucked	nenffyrchog
crude	amrwd
crude	amrwd
crude	crai
crude	crai
crude birth / death rate	cyfradd geni / marw syml
crude oil	olew crai
crude oil	olew crai
crudity	anaeddfedrwydd
cruel	creulon
cruelty	creulondeb
cruet	criwed
cruise	mordaith
cruise	morio
cruiser	criwser
cruiser	llong ryfel gyflym
crum horn	crwmgorn
crumb	briwsionyn
crumb	briwsionyn
crumble	briwsioni
crumble	briwsioni
crumble	crymbl
crumble	malurio
crumble cap	cap inc clystyrog
crumbly	briwsionllyd
crumby	briwsionllyd
crumby structure	adeiledd briwsionllyd
crumpet	cramwythen
crumpet	cramwythen
crumple	crychu
crumple	crychu
crumple	gwasgu
crumple	sybachu
crumple zone	cywasgran
crumpled	crychlyd
crunch	creinsio
crunchy	creisionllyd
crunode	crwnod
crunode	crwnod
crupper	crwper
crupper	pedrain
crusade	croesgad
crusade	croesgad
crusade	crwsâd
crusader	croesgadwr
crusader	crwsadydd
cruse	ystên
crush	duo
crush	gwasgiad
crush	gwasgu
crush	malu'n fân
crush	mathru
crush	torf
crush injury	anaf mathru
crushed enamel	enamel mâl
crusher	malwr
crusher	mathrwr
crust	cramen
crust	cramen
crust	crofen
crust	crystyn
crustacea	cramenogion
crustacean	cramennog
crustacean	cramennog
