english welsh
realty eiddo
rational call
magic dewiniaeth
trimmings trimins
journey ymdeithio
gain elwa
complicity cydran
minute mân
splinter sblint
halt aros
slough cors
festive llawen
ointment eli
port porthladd
fixed penodol
copper copr
sergeant sarsiant
traverse mynd
masque masque
unlettered anllythrennog
liturgy litwrgi
parched crin
atheist anffyddiwr
thyme teim
scion impyn
bleed gwaediad
tempest tymestl
imitative dynwaredol
lemon lemwn
curium curiwm
episcopalian esgobaethol
poem cerdd
infliction cosbedigaeth
fitting addas
programing rhaglennu
gibbous amgrwm
lifetime einioes
dump dymp
whey maidd
quiz pos
lamp lamp
august urddasol
secco secco
drop cwympiad
sheepfold ffald
onslaught cyrch
praise canmoliaeth
pike gwaywffon
chamberlain ystafellydd
endocrinology endocrinoleg
lowly gostyngedig
deal bargen
integral integrol
lengthen ymestyn
cap cap
deposit cramen
spring sbonc
intermediary canolwr
crunchy creisionllyd
generous hael
conga conga
gardener garddwr
bridal priodas
pack sypyn
pestilential heintus
pallid llwydaidd
piteous gresynus
bull tarw
palaeogeography paleoddaearyddiaeth
craftworker crefftwr
southern deheuol
gated adwyog
addendum adendwm
painting peintio
release rhyddhad
little ychydig
no naddo
incredulous anghrediniol
kindred carennydd
dielectric deuelectrig
kibbutz cibwts
litany litani
compliance cydymffurfiad
prefer ffafrio
gross bras
driftwood broc
sentinel gwyliwr
detriment niwed
licensee trwyddedig
scold dwrdio
nibble darnio
nudge pwtio
print argraffu
knock curo
particular manylyn
permit hawlen
delicate tyner
inclination chwant
reaction adwaith
spar ymladd
duvet duvet
propulsion gwthio
soak mwydo
messy bawlyd
neutrality niwtraliaeth
liberal haelionus
reddish cochlyd
legation cenhadaeth
wife gwraig
prick pricio
exhibit arddangos
incense cythruddo
observation gwyliadwriaeth
quest ymchwil
unconcern difrawder
hyperbola hyperbola
compress clwtyn
discredit amharchu
appear ymrithio
stage llwyfan
mere llyn
drowse pendwmpian
innuendo ensyniad
split rhannu
scrawl sgriblan
pacific llonydd
burglar byrgler
estimation bri
monitor monitor
letterpress geiriad
assay prawf
jeweller gemydd
pons pont
illustrate egluro
encumber llesteirio
mischief direidi
shrewd ffel
creep ymlusgo
canning canio
irradiate arbelydru
instructor hyfforddwr
petty dibwys
patrimony etifeddiaeth
container cynhwysydd
sapling glasbren
machicolation rhyngdyllau
foulard ffunen
typographical argraffyddol
roundness crynder
sexuality rhywioldeb
suggest awgrymu
quad cwad
huff dig
server gweinydd
subdominant islywydd
ideological ideolegol
diverting dargyfeiriol
murderous llofruddiog
mood hwyl
confidentiality cyfrinachedd
bowler bowliwr
tumulus gwyddfa
gnarled garw
author awdur
shafting gwerthyd
perplex drysu
accommodation cymhwysiad
abseil abseilio
helm llyw
bipartisan dwybleidiol
ruthlessness creulondeb
discharge crawn
rent rhent
commendation cymeradwyaeth
convalescence adferiad
discountenance anghefnogi
reconstruct ailgodi
plea ple
echo atseinio
tempering tymheru
dated dyddiedig
spend bwrw
baron barwn
placate dyhuddo
tweak gwasgfa
dupe twyllo
nightmare hunllef
depersonalization dadbersonoli
necromancer swynwr
respective unigol
umbrella ymbarél
guillemot gwylog
speckle brychu
repulse gwrthyrru
repel gwrthyrru
tremulous crynedig
period misglwyf
standard baner
anaemia anaemia
foundation sylfaenol
portray portreadu
overdraw gorgodi
refine coethi
tally cytuno
bit ebill
antecedent rhagosod
collision gwrthdrawiad
detection datgeliad
reproduce atgynhyrchu
entity hanfod
indicator dangosydd
gender rhyw
priceless amhrisiadwy
contractor adeiladydd
hike heicio
verse gwers
millenium mileniwm
remonstrate protestio
luscious pêr
discordant anghytûn
bereavement colled
husk masgl
supplementary atodol
lad crwt
stocky cadarn
unmarred dianaf
forward blaen
deceitful dichellgar
pyridine pyridin
monochrome monocrom
custodial cadwraethol
nice braf
not na
keeping cadwraeth
floor llawr
node cainc
spruce sbriwsen
quiver cawell
flourishing llwyddiannus
xylophone seiloffon
shriek ysgrechian
vegetation llystyfiant
pain dolur
surplice gwenwisg
sectarian enwadol
agent asiant
play canu
permit caniatâd
envy eiddigedd
isolated arunig
flabby llaes
reassuring cysurol
intestinal coluddol
wench croten
masculine gwrywaidd
flowing llifeiriol
mod mod
augur darogan
substantiate profi
boycott boicotio
slash slaes
hesitant petrusgar
opt dewis
uproar stŵr
augment ychwanegu
athletic athletig
pleading eiriolaeth
accession derbynyn
shapely gosgeiddig
forest coedwigo
heal gwella
giver rhoddwr
body gwrthrych
caviare cafiar
escapade direidi
immigrate mewnfudo
unkempt aflêr
repatriation dychweliad
flapjacks fflapjacs
call ffonio
captive carcharor
corruption llygredd
rasher sleisen
stamp stampio
filch lladrata
counterpane cwrlid
cricket criced
scrawl sgriblo
pernicious niweidiol
aristocrat pendefig
colon colon
lecture darlithio
hafnium haffniwm
indisposition anhwyldeb
yarn edau
partiality tuedd
diatomic deuatomig
tarry trigo
solitary unig
polarization polareiddiad
resonate cyseinio
devastation difrod
tonsure tonsur
blade llafn
wretched gresynus
unambiguous eglur
scorn dirmyg
confine caethiwo
doggerel rhigwm
header pennawd
wasteful gwastraffus
elf corrach
redness gwrid
sag ysigo
centurion canwriad
match gêm
opaque didraidd
warding wardio
sensible synhwyrol
alibi alibi
superimpose arddodi
cup cwpan
impassive didaro
quartered chwarterog
clandestine dirgel
ordnance ordnans
farmhouse ffermdy
query gofyniad
strew taenu
centred canolog
orthopaedics orthopaedeg
draw cynilo
breast bron
sloppiness meddalwch
howl oernad
collectivism cyfunoliaeth
rain glawio
freehand llawrydd
ply arfer
bill bilio
addict gorddibynnu
school dysgu
snap torri
mutilate anffurfio
ritual defodol
conjoint unedig
disloyal anffyddlon
anatomy anatomi
duel gornest
whom y
deformity hagrwch
complain cwyno
chafing rhathiad
symmetrical cymesurol
panel panel
granary ysgubor
unbind datod
wooer carwr
tax trethu
evolve esblygu
ungrudging dirwgnach
access mynedfa
murder llofruddio
connective cysylltiol
concern pryder
body corffolaeth
coil coil
quartet pedwarawd
dislodge syflyd
depositor adneuwr
modify goleddfu
lull gosteg
fly cleren
diploma tystysgrif
formed ffurfiedig
implicate goblygu
bailiwick beilïaeth
sink suddo
assiduous dyfal
canyon canion
duffel dyffl
bankrupt methdalwr
grade safoni
bolt dianc
geographical daearyddol
semi rhannol
gravel graean
pressing enbyd
graciousness graslonrwydd
crevice agen
typeface ffurfdeip
ladle llwy
cognizance ymwybod
deject tristáu
egocentric hunanganolog
despise dirmygu
cook cogyddes
stochastic stocastig
respirator anadlydd
stem coesyn
cress berwr
retraining ailhyfforddi
practice practis
flow rhediad
amplify mwyhau
ken gwybod
nutriment maeth
unheeding didaro
decipher dehongli
list rhestru
side pleidio
transference trosglwyddiad
plainsong plaengan
localization lleoleiddiad
cattle da
crabbed crablyd
reciprocate cyfnewid
recession ciliad
fretwork rhwyllwaith
prolong ymestyn
blurb broliant
strain anafu
beater curwr
timbrel tympan
nippers gefel
malady dolur
transparency amlygrwydd
complement cyflawnder
contort gwyrdroi
archaism hynafiaeth
gradation graddoliad
defeat trechu
larch llarwydden
rebuke cerydd
punch dyrnod
impoliteness anfoesgarwch
tepid claear
issue rhifyn
tombola tombola
presentiment rhagargoel
copy copi
drain draenio
grievance cwyn
memorial coffa
drum drwm
steal lladrata
skip sgip
booster atgyfnerthol
violent treisiol
refrigerator oergell
esteem parch
ligature rhwymyn
ectoplasm ectoplasm
relegation darostyngiad
raving gorffwyll
faulty diffygiol
effluvium drewdod
flexor plygydd
bond bond
stomach stumog
ourselves nyni
abandonment gadawiad
portage cludiad
preaching pregethiad
sacramental sacramentaidd
parson person
trouble trwblu
mariner morwr
limited prin
immorality anfoesoldeb
naze trwyn
all oll
reliable dibynadwy
lapwing cornicyll
group cylch
elegant coeth
like tebyg
moderation cymedroldeb
interregnum interregnum
consent cydsyniad
pennant baner
quantify meintioli
minaret minarét
playwright dramodydd
while talm
praise canmol
remunerate cydnabod
excitement cynnwrf
chiaroscuro chiaroscuro
valance falans
importance pwysigrwydd
immigration mewnfudo
hundred hwndrwd
bisect haneru
expulsion diarddeliad
ballet bale
extract darn
reader darllenydd
wolf blaidd
broaden lledu
knight marchog
anorexia anorecsia
smash malurio
tinge arlliw
salon salon
brutality creulondeb
albumen gwynnwy
anonymous anhysbys
voice llais
concave ceugrwm
seducer llithiwr
cubist ciwbaidd
areola areola
exigent taer
ballast balast
overt agored
prepositional arddodiadol
tart egr
haulage cludiant
impose gosod
immutable digyfnewid
gap bwlch
existence bodolaeth
crupper pedrain
fable chwedl
curb ffrwyno
there fana
spot adnabod
gazelle gafrewig
magma magma
warranty sicrwydd
tuberculosis twbercwlosis
push gwthio
synthesize syntheseiddio
literate llythrennog
omission esgeulustra
ungentle cwrs
apparatus offer
grassy glas
reinforcement atgyfnerthiad
frizzy crychlyd
youth ieuenctid
spun cyfrodedd
flounce fflowns
cryptic dirgel
stimulation cyffroad
castellated castellaidd
rooster ceiliog
prescribe pennu
queerness odrwydd
enjoyment mwynhad
flaxen golau
pose osgo
ditch dyfrffos
cardiology cardioleg
ignominious gwarthus
lot rhan
gutter cwter
gross seimllyd
tantrums strancio
viable dichonadwy
mezzotint mesotint
oscillation osgiladiad
escape ymwared
famous enwog
trident tryfer
measure bar
sycophant cynffonnwr
collude cydgynllwynio
recitation adroddiad
epithet ansoddair
decrement gostyngiad
card carden
selectivity detholedd
sprocket sbroced
scrip ysgrepan
accumulate crynhoi
addled gorllyd
dissection dyraniad
fierceness ffyrnigrwydd
intensity dwyster
busy diwyd
crookedness gwyrni
abdicate ymddiswyddo
cookie cwci
wickedness drygioni
adversary gwrthwynebydd
smack taro
many aml
phone ffôn
feathered pluog
regale gwledda
set gosod
twine troelli
justice ynad
sextet chwechawd
peer llygadu
foe gelyn
chilli tsili
prologue rhagymadrodd
hey hai
send anfon
gravestone beddfaen
dripping toddion
humbug twyllo
mare caseg
laxative carthydd
agrarian amaethyddol
testate ewyllysiol
riposte riposte
infant plentyn
charter llogi
functional swyddogaethol
pellagra pelagra
snap cnoi
court cwrt
dementia dementia
argumentative dadleugar
short byr
wince ymnyddu
homeostasis homeostasis
fetter llyffetheirio
liberal toreithiog
halyard hwylraff
default rhagosodedig
venturesome anturus
topsoil uwchbridd
squirt chwistrelliad
caring gofalgar
plot cynllwynio
extinguisher diffoddwr
apparel dilladu
adjust ymgynefino
playful chwareus
shiver crynu
smuggle smyglo
encamp gwersyllu
slipway llithrfa
draw atyniad
nonagon nonagon
abrogation dilead
stow stow
compression cywasgedd
false gau
hunt helwriaeth
nod nodio
equity cyfiawnder
industrial diwydiannol
stab gwân
coat côt
adrenal uwcharennol
crazy gorffwyll
uncertainty ansicrwydd
felony ffeloniaeth
swig dracht
elfish direidus
deaconship diaconiaeth
accept derbyn
deliver trosglwyddo
scribble sgriblan
attainment cyrhaeddiad
bending plygiant
argument arg
procreation cenhedliad
flavour blasio
bourgeois bwrdais
hilly bryniog
sable sabl
perhaps efallai
porpoise llamhidydd
exist bodoli
film ffilmio
misguide camarwain
stiff anystwyth
nippy cyflym
unless oni
cultivate trin
veto nacáu
internal mewnol
dingle cwm
limit cyfyngu
earth priddo
plump tew
sectarian sectyddol
tackle offer
discontinuous bylchog
calligraphy caligraffi
discard gwaredu
enable galluogi
muffle pylu
uncongenial afrywiog
chase helfa
slight dirmygu
hertz herts
fearlessness ehofndra
foxing llwydni
flexibility hyblygrwydd
yogurt iogwrt
affix sicrhau
singleness penderfynoldeb
heterogeneous heterogenaidd
revolution cylchdro
delicacy danteithfwyd
poser pos
conformity cydymffurfiad
compilation detholiad
meridian nawnlin
pruritis prwritis
picturesque darluniaidd
nanny mamaeth
henchman cefnogwr
boarder lletywr
discretion doethineb
sage call
hound helgi
dental deintiol
wooden prennaidd
expulsion ymwthiad
glance tremio
americanize americaneiddio
saying dywediad
hatchel heislan
grater crafell
visionary breuddwydiol
support ategu
farmer amaethwr
revile difrïo
revaluation ailbrisiad
unpleasant annymunol
dip goledd
mirthless digalon
encapsulation mewngapsiwleiddio
dip trochiad
wound archolli
wallop curo
rankle gori
expedite hyrwyddo
ebony eboni
hegemony hegemoni
shop siopa
churn corddi
tenant tenant
figure rhifo
comparability cymaroldeb
dystrophy nychdod
aurora awrora
double dyblu
expose dinoethi
maggoty cynrhonllyd
dairy llaethdy
flageolet chwibanogl
flout diystyru
advocate eiriolwr
meticulous gorfanwl
prudery maldod
landing glaniad
equilibrium cydbwysedd
cultivation amaethiad
virile gwrol
wheat gwenith
wrong niweidio
epicure glwth
cleavage hollt
baize brethyn
dungeon dwnsiwn
access cyrchu
press pwyso
discursive disgyrsiol
tenacious glynol
pluralism lluosogaeth
penance penyd
vomit cyfogi
melancholic pruddglwyfus
fling lluchio
desirous chwannog
nursery meithrinfa
colonize trefedigaethu
our ein
regalia regalia
diocese esgobaeth
senate cyngres
insanitary afiachus
prepayment rhagdaliad
appropriation cyllid
deliver traddodi
unsatisfactory anfoddhaol
psychosexual seicorywiol
sprout blaguryn
lapse gwall
suitable cyfaddas
vanadium fanadiwm
divulge dadlennu
penalise cosbi
prescription rhagnodyn
replica copi
contributor cyfrannwr
lecture araith
progenitor cyndad
untie datod
baton baton
casualty colledig
age heneiddio
evince profi
fetter hual
particoloured amryliw
stepson llysfab
hazy aneglur
lodgings llety
kenosis ymwacâd
initiative symbyliad
state mynegi
unnecessary dianghenraid
bosun bosn
transpose trawsosod
mew mewian
criticism beirniadaeth
over uwchben
whoop bloedd
along ymlaen
tilth trwch
savour sawr
strut eisen
current awel
redness cochni
political politicaidd
diary dyddiadur
possess meddiannu
youth llencyn
report adroddiad
experience profiad
fillet ffiledu
veracious geirwir
wicked drygionus
faction ymblaid
involution cymhlethdod
topical testunol
somehow rhywfodd
tributary isafon
quick ebrwydd
irredentism iredentiaeth
starry serennog
treat gwledd
inexplicit tywyll
unction eli
radius rhaidd
slate llechfaen
twinkling eiliad
snip toriad
brisket brisged
onion nionyn
toolmaker offerwr
oxalic ocsalig
ductility hydwythedd
catechise holi
ribaldry serthedd
rescue gwaredu
inverted annormal
rationalisation rhesymoliad
race rasio
cerebellum cerebelwm
edge awch
albino albinaidd
affect affeithio
tabard tabard
betoken argoeli
debar atal
rehabilitate adsefydlu
abstention ymwrthodiad
facile rhwydd
parole addewid
intimate cynefin
swastika swastika
tidiness taclusrwydd
meddle ymyrryd
foil dalen
choreography coreograffi
abbreviate cwtogi
throb dychlamu
peevish piwis
carbonaceous carbonaidd
expiry terfyn
horse ceffyl
verbnoun berfenw
resuscitate dadebru
cyst coden
swinish mochynnaidd
ownership perchenogaeth
large mawr
mapping mapio
preamble rhaglith
curfew hwyrgloch
start tasgu
suspect drwgdybio
structure adeilad
lawyer cyfreithiwr
texture ansawdd
scream sgrechian
cut trychu
regimen rheolaeth
fat tew
cardiac cardiaidd
doleful trist
then wedyn
connivance goddefiad
sport mabolgamp
truth gwirionedd
shudder arswyd
glorious gogoneddus
merchet amobr
trier profwr
soapy sebonllyd
beaded gleiniog
fix sefydlogi
zygote sygot
puzzle pos
shrew chwistlen
surge ymchwydd
sawyer llifiwr
suspense pryder
hearken clustfeinio
loud cryf
posterity disgynyddion
pounce llamu
abettor anogwr
textile brethyn
purport awgrymu
trainee hyfforddai
deft medrus
stainless gwrthstaen
spirit gwirod
ascending esgynnol
itemize eitemeiddio
stimulating cyffrous
observation arsylwad
accomplish cyflawni
prevail trechu
sally cyrch
partisanship pleidgarwch
unmanly llwfr
cork corc
subconscious isymwybod
chrysanthemum eurflodyn
terms telerau
toiler gweithiwr
plane lefel
unit uned
quarrel ffrae
resilient hydwyth
repletion syrffed
lantern llusern
motorway traffordd
iconographic eiconograffig
tip dymchwelyd
quadratic cwadratig
digestible treuliadwy
parotid parotid
dramatize dramateiddio
tentacle teimlydd
leech gelen
foetus ffetws
illustration enghraifft
guesswork dyfaliad
night noswaith
tunnel twnelu
parody parodi
beef bîff
federate ffederaleiddio
catenate cadwyno
lawgiver deddfroddwr
filled llanw
illness salwch
obviate osgoi
encrypt amgryptio
restart aildanio
flighty gwamal
factitious ffug
infancy mebyd
impairment amhariad
sanction cosbedigaeth
sage doethwr
personify personoli
hermeneutics hermeniwteg
noddy hurtyn
infringe torri
prudence pwyll
imperfection nam
competence cymhwyster
stripe rhes
aerated awyrog
disorder anhwyldeb
migrate mudo
economical cynnil
rove crwydro
piquant siarp
air cainc
crag clogwyn
difficult caled
whine sŵn
rank mws
regrow aildyfu
grange maenor
pause saib
gratuitous rhad
research ymchwilio
assortment cymysgfa
milky llaethog
straight union
cupping cwpanu
epilepsy epilepsi
enlightened goleuedig
climber dringwr
rennet ceuled
hooligan hwligan
fatigue blinder
farce ffars
range ystod
phosphoric ffosfforig
pewter piwter
heady meddwol
sex rhyw
biscuit bisged
concretion carreg
rapine anrhaith
dispute anghydfod
state cyflyrol
evacuation ymgiliad
common cytir
gawky llibin
carmine fflamgoch
shoreline traethlin
etymology etymoleg
major oedolyn
filtrate hidlo
theocracy theocratiaeth
flute ffliwt
oblong hirgul
fleet cyflym
anchovy brwyniad
sally rhuthr
wheezy gwichlyd
breeder bridiwr
wondrous rhyfeddol
liar celwyddgi
throughout drwodd
grain gronyn
slot slot
palm cledr
transcribe trawsgrifio
equipment offer
army byddin
impending gerllaw
liberalize rhyddfrydoli
transcript adysgrif
financier cyllidwr
gasp ebychu
clear clir
step gris
cost traul
shot cais
broody clwc
dither mwydro
intoxicate meddwi
gall blino
respond ateb
licking llyfiad
lick llyfu
jocose jocôs
recurring cylchol
trophic troffig
bookworm llyfrbryf
provision cyflwyniad
waist canol
rendezvous cyrchfa
abysmal diwaelod
tune tiwnio
thud twrf
muteness mudandod
tactless annoeth
margarine margarin
system system
epistolary epistolaidd
adaptability cymhwysedd
hie brysio
vest gwasgod
eclipse clip
bromine bromin
litigant ymgyfreithiwr
ruck ryc
establishment gweithle
contribute cyfrannu
gazetteer newyddiadurwr
supersonic uwchsonig
lip gwefus
tiller llyw
inertia inertia
sect enwad
sociology cymdeithaseg
harass blino
aorta aorta
boom trwst
discharge diswyddiad
brownish brownaidd
distant oeraidd
manageable hydrin
stanchion cledr
recursion dychweliad
wipe disodli
gilded goreurog
bipolar deubegwn
promulgate lledaenu
nimble sionc
creativeness creadigrwydd
citizen dinesydd
tump crug
erection adeilad
waken deffro
band band
spoor ôl
savoury sawrus
tameness diniweidrwydd
medicinal llesol
overhead uwchben
torture dirboen
liberal rhyddfrydig
ailment dolur
anomalous afreolaidd
fright ofn
domino domino
juggler jyglwr
crow brân
hub both
corrugation gwrym
constituency etholaeth
sparing prin
compose cysodi
castigate ceryddu
spongy sbyngaidd
clergyman clerigwr
toil trafferth
honorarium cydnabyddiaeth
strict cyfyng
progenitor hynafiad
debatable dadleuol
cinerary lludlwyd
extremist eithafwr
acquisitive barus
gripe gafael
impulse symbyliad
hanker hiraethu
chubby tew
goddess duwies
barge hyrddio
intake derbyn
academical academaidd
handkerchief macyn
keypad bysellbad
lisping bloesg
dyer lliwydd
senile oedrannus
isotope isotop
hidden cuddiedig
resourcefulness dyfeisgarwch
recline lledorwedd
luminary dysgawdr
idealist delfrydwr
sterling sterling
neuter diryw
abstract alldynnu
licence rhyddid
unwind agor
wire gwifro
fricative affrithiol
backland cefnwlad
liquidation datodiad
product lluoswm
ailment afiechyd
idleness diogi
burst rhwyg
rotational cylchdroadol
dehydrated dadhydredig
running rhedegog
bigot cul
hormone hormon
scrutinize archwilio
volcanic folcanig
daring beiddgar
hope gobeithio
minx mursen
abacus abacws
groundsman tirmon
pollard tocio
land landio
ecstasy gorawen
support cynhaliaeth
priestly offeiriadol
censure ceryddu
spin sbin
teem heigio
affray ffrwgwd
hackneyed ystrydebol
ticket ticed
stylistic arddulliadol
sequence dilyniant
hose pibell
chastisement cerydd
pithiness cwtogiad
cherish anwylo
beak pig
uproot diwreiddio
awl mynawyd
catering arlwyaeth
hunt ymlid
prodigious aruthrol
tonal tonyddol
susceptible tueddol
definite penodol
amenable cyfrifol
inhabitable cyfannedd
extraction echdyniad
fir pinwydden
huskiness crygni
stamp stamp
redress iawndal
frog llyffant
singularity unigolrwydd
filtration hidliad
nepotism nepotistiaeth
streaky rhesog
silt silt
till til
rake cribin
headdress penwisg
advance blaenu
banns gostegion
snarling piwis
drowsiness syrthni
scroll rholio
coat cotio
recollect cofio
sensational cyffrous
communication neges
pandemonium mwstwr
preparation paratoi
gaffer meistr
weakness diffyg
xenon senon
slope graddiant
imbroglio anhrefn
dismay siomi
opposite croes
iris iris
idiotic gwirion
tapir tapir
tour tro
rotary cylchdro
sharp awchlym
meander ystumio
retard arafu
cataract rhaeadr
configure ffurfweddu
gyrate chwyrlio
bustle ffwdan
yes do
two pâr
canteen cantîn
statutory statudol
scraper crafell
information hysbysrwydd
block cyff
defer gohirio
bearer daliwr
invoke erfyn
outside allan
version fersiwn
joyless prudd
warble pyncio
transportation alltudiaeth
crush mathru
scare dychryn
gregarious heidiol
fortuity hap
poorness tlodi
slayer lladdwr
monocellular ungell
erasure dilead
warrant gwarant
insemination cyfebriad
timbrel tambwrîn
well ffrydio
settle setl
gullibility hygoeledd
step step
slobber glafoerio
hold cynnwys
mortlake merllyn
seaboard morlan
equinox cyhydnos
glide llithrydd
maiden gwyryf
seriousness difrifoldeb
high uchel
shatters teilchion
unhappiness anhapusrwydd
lissom heini
waste diffaith
feel naws
mingy cybyddlyd
scion blaguryn
shameless eofn
calibration graddnodiad
liveliness bywiogrwydd
foolhardiness rhyfyg
hydroponics hydroponeg
sneer gwawdio
lachrymose dagreuol
jingo jingo
unicellular ungellog
devour difa
herd cenfaint
generalissimo cadlywydd
lamb oen
timber pren
importation mewnforio
primary gwreiddiol
underfund tanariannu
nibble deintio
barrier gwahanfur
curtail cwtogi
minuteness bychander
abject distadl
brick priddfaen
junction cyffordd
juggernaut jygarnot
exposure oerfel
perspiration chwys
promenade rhodianna
sundries manion
curate curad
unseasonable anamserol
resources adnodd
whine swnian
road heol
boundary ffin
exhausted blin
heal iacháu
banal sathredig
chase ysgythru
knot not
driver gyrrydd
painter peintiwr
slash slaesio
sheer pur
draw tynnu
muzzle ffroen
hearing gwrandawiad
topple disgyn
devious troellog
pampas paith
stamen briger
crying pwysig
grope ymbalfalu
oven popty
rating trethiant
dart darten
balustrade balwstrad
inflict gweinyddu
freehand digymorth
stout gwrol
unpolluted dihalog
what pa
flue ffliw
insult sen
burly cydnerth
buckle crychu
misbehave camymddwyn
mire llaid
pick dewis
incorrectness anghywirdeb
emblazon addurno
ferment eplesu
suddenness sydynrwydd
mellow meddalu
maximum macsimwm
tidings newyddion
indescribable annisgrifiadwy
cervical serfigol
sludge llaid
jam torf
detect canfod
wage pae
mendacity celwydd
purveyance arlwyaeth
core calon
concrete concrit
kerchief neisied
funk ofn
codification cyfundrefniad
indelicate bras
below islaw
inert inert
conveyor cludydd
bark rhisglo
project ymestyn
expedient hwylus
slavery caethwasiaeth
department adran
hazy niwlog
plotter plotydd
act actio
lodge lletya
bronchitis broncitis
rate treth
groom trwsio
flap fflap
adjournment gohiriad
contrasting cyferbyniol
imbecile ynfytyn
indent bwlch
abstract haniaeth
cupful cwpanaid
gullible hygoelus
freckle brychni
precursory rhagflaenol
tame diniwed
tourist teithiwr
admixture cymysgiad
flume ceunant
dramatic dramatig
miniature miniatur
autistic awtistig
impair amharu
internment caethiwedigaeth
intone siantio
slice sleisen
layer gwanaf
relativism perthynolaeth
baseman baswr
collapse cwympiad
anticlimax disgynneb
boredom diflastod
vaccinate brechu
ere cyn
cytoplasm cytoplasm
surmise dyfaliad
woe gwae
employment cyflogaeth
foreskin blaengroen
isogloss isoglos
forged gyredig
relegation diarddeliad
docile hydrin
flexure plygiant
chub cochgangen
quits cyfartal
quinine cwinîn
loosen llacio
nod nòd
certain rhai
unflinching pybyr
unjustifiable anghyfiawnadwy
pique cythruddo
brim ymyl
walled muriog
chaotic anhrefnus
propitiate cymodi
unfertile anffrwythlon
dilatoriness arafwch
plausible tebygol
shirt crys
kangaroo cangarŵ
singularity hynodrwydd
purvey darparu
prattle cleber
alienate dieithrio
tiresome diflas
regardful ystyriol
thiol thiol
perforator tyllwr
much mawr
air alaw
loom ymrithio
commit cyflwyno
designer cynllunydd
rancid mws
sobriety sobrwydd
ring tonc
conciliation cymod
licentiousness penrhyddid
collective cydweithfa
protestor gwrthdystiwr
gorse eithin
musketry saethyddiaeth
enclose amgáu
impregnation trwythiad
striped rhesog
velvet melfed
wag wag
snipping snipio
jot tipyn
peristalsis gwringhelliad
endear anwylo
patriotic gwlatgar
tachograph tacograff
emend cywiro
nearby gerllaw
meet cyfarfod
transparency eglurder
nautical morwrol
gaunt tenau
abetter cefnogwr
struggle ymdrechu
sideline asgell
anonymity anhysbysrwydd
style steil
mount mowntio
hatchet bwyell
devout crefyddol
plead dadlau
accentuation aceniad
riband rhuban
evocation gwŷs
assimilate cydweddu
supervision goruchwyliaeth
hybrid hybrid
underachieve tangyflawni
ticklish anodd
lenient tyner
rumple crychu
twig amgyffred
contest gornest
tawdry coegwych
swathe amrwym
spectrometry sbectrometreg
global drwyddi
patent breinlen
smile gwenu
supreme goruchaf
martin gwennol
guy hogyn
bug byg
tip awgrym
form cyflwr
sideboard seidbord
receiver derbynnydd
worse gwaeth
forcible egnïol
schema sgema
residential preswyl
impassive digyffro
butterfish llyfrothen
treachery brad
amice amis
typescript teipysgrif
haulm gwlyddyn
flurry ffwdanu
imposition treth
walk tro
ending dibeniad
mottling brychu
changeable cyfnewidiol
heave ymgodiad
smolt gleisiad
goal nod
interval ysbaid
protozoa protosoa
log log
stays staes
transference trosglwyddo
agile heini
ventilation awyriad
colt swclyn
drive curo
dullness twpdra
bacillus basilws
session sesiwn
vaporized anweddol
outstanding amlwg
stolid swrth
fate ffawd
initiate ynydu
dam mam
cave ogof
homesick hiraethus
decision penderfyniad
contumely gwaradwydd
sarcastic gwawdlyd
invocation ymbil
decagon decagon
clergy clerigwyr
epidemic heintus
exaltation dyrchafiad
cravat crafat
superpose arosod
expiration diwedd
housing rhigol
emphysema emffysema
stereotype stereoteip
deliver dosbarthu
compassion trugaredd
reredorter geudy
hopper daliwr
shilling swllt
discern dirnad
sore briw
competence cymhwysedd
acquittance derbynneb
broadcast darlledu
spread lledaenu
absolve maddau
deepen dyfnhau
unheeding diofal
generous haelionus
regardless diofal
disclaim gwadu
innovator newyddwr
those hynny
magnification chwyddiad
expediency buddioldeb
jam jam
smack trawiad
deportment ymddygiad
explain egluro
scanty prin
creek cilfach
migration ymfudiad
talon ewin
gill gil
earnestness difrifwch
hyperlink hypergyswllt
glycolysis glycolysis
sensitivity sensitifrwydd
proceeding gweithgaredd
dark tywyll
cloak mantell
hurry brysio
pannier cefn
roar rhu
reach ymestyn
frizz crychu
aster serenllys
twine ymgordeddu
tree pren
defamation difenwad
solidarity cydsafiad
ferment eples
unto wrth
rascally drygionus
band rhwymo
tribute gwrogaeth
oedematous chwyddedig
spiritualist ysbrydegydd
hornless moel
phrase mynegi
provoking pryfoclyd
exorbitant afresymol
satisfying digonol
round crynhoi
mirthless trist
panther panther
discomfiture blinder
quit ymadael
pasty pastai
pound ffald
quotation pris
scale graddfa
sod tywarchen
gullet llwnc
caesium cesiwm
dilapidate adfeilio
aerodynamics aerodynameg
dejection digalondid
vigilance gwyliadwriaeth
maraud ysbeilio
nucleus cnewyllyn
addiction caethineb
soffit soffit
bright gloyw
parlance iaith
lament cwynfan
vexatious gofidus
straighten unioni
catalogue catalogio
ruse ystryw
peculiar hynod
gawky trwsgl
hindmost bôn
curator curadur
artist artist
seam gwythïen
milieu amgylchfyd
nave both
inhibitor atalydd
total hollol
dip dip
stair gris
weedicide chwynladdwr
jollity miri
fireman taniwr
fruition mwynhad
luxuriant ffrwythlon
tattered carpiog
knuckle cymal
eagerness awch
