word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex)
traeth,môr,N,4.68,4.79,4.79,4,0.33,0,1.08
lôn,bowlen,N,1.53,4.82,4.87,4,0.33,0,0.51
jar,potel,N,7.83,5,4.91,4,0.33,0,1.44
cryfder,gallu,N,5.28,2.96,1.93,1,0.32,0,1.33
hedyn,mwstard,N,3.48,4.71,4.93,4,0.32,0,0.59
gitâr,drwm,N,3.78,4.9,4.96,4,0.32,0,1.72
barn,syniad,N,5.7,1.93,1.61,1,0.31,0,1.29
gogledd,gorllewin,N,3.63,4.14,3.44,3,0.31,0,1.6
deiet,salad,N,2.98,3.21,4.97,3,0.31,0,1.6
mam,gwraig,N,3.02,4.6,4.13,3,0.31,0,1.62
tad,mam,N,3.55,4.29,4.6,3,0.31,0,1.44
capten,morwr,N,5,4.19,4.86,3,0.31,0,1.43
metr,llath,N,5.6,4.7,4.82,4,0.31,0,1.32
cwrw,siampên,N,4.45,4.88,4.82,4,0.31,0,1.2
modur,cwch,N,2.57,4.84,4.93,4,0.31,0,1.45
carden,pont,N,1.97,4.9,4.97,4,0.31,0,1.69
gwyddoniaeth,seicoleg,N,4.92,2.79,2.31,1,0.3,0,1.91
pechadur,sant,N,1.6,3.07,3.45,2,0.3,0,1.39
dinistr,adaeiladu,N,0.98,3.21,3.72,2,0.3,0,1.69
torf,tusw,N,7.42,4.52,3.5,3,0.3,0,1.37
traeth,riff,N,3.77,4.79,4.7,4,0.3,0,1.85
dyn,plentyn,N,4.13,4.79,4.78,4,0.3,0,1.34
bara,caws,N,1.95,4.92,4.7,4,0.3,0,1.52
pencampwr,enillydd,N,8.73,3.82,3.21,2,0.29,0,1.15
dathliad,seremoni,N,7.72,3.47,3.57,2,0.29,0,0.61
bwydlen,archeb,N,3.62,4.67,2.79,3,0.29,0,1.42
brenin,tywysoges,N,3.27,4.1,4.72,3,0.29,0,1.7
cyfoeth,bri,N,6.07,2.63,1.61,1,0.28,0,1.55
dygnwch,cryfder,N,6.58,2,2.96,1,0.28,0,0.59
peryg,bygythiad,N,8.78,2.68,2.52,2,0.28,0,1.56
dyw,offeiriad,N,4.5,2.07,4.77,2,0.28,0,1.2
dynion,brawdgarwch,N,3.13,4.75,2.46,2,0.28,0,1.11
ffrind,cydymaith,N,8.65,3.48,3.75,2,0.28,0,1.64
athro,cynorthwyydd,N,4.28,4.52,3.39,3,0.28,0,1.65
corff,stymog,N,3.93,4.79,4.89,4,0.28,0,1.15
tafod,gwddf,N,3.1,4.93,4.97,4,0.28,0,1.31
tŷ,carped,N,1.38,5,4.96,4,0.28,0,1.44
deallusrwydd,sgil,N,5.35,2.24,2.17,1,0.27,0,1.29
siwrne,gorchfygiad,N,4.72,2.57,2.54,1,0.27,0,1.12
dyw,ysglyfaeth,N,1.23,2.07,3.61,2,0.27,0,1.73
brawd,enaid,N,0.97,4.43,1.86,2,0.27,0,1.18
gwrthwynebwr,gwrthwynebydd,N,9.05,2.93,3.52,2,0.27,0,1.4
marwolaeth,trychineb,N,4.13,3.73,2.96,2,0.27,0,1.46
anghenfil,cythraul,N,6.95,3.72,3.32,2,0.27,0,1.5
dydd,bore,N,4.87,3.92,3.44,2,0.27,0,1.95
dyn,buddugwr,N,1.9,4.79,2.88,3,0.27,0,1.67
ffrind,boi,N,3.88,3.07,4.68,3,0.27,0,1.49
cân,stori,N,3.97,4.46,3.3,3,0.27,0,1.27
pelydr,heulwen,N,6.83,3.57,4.21,3,0.27,0,1.55
boi,styden,N,5.83,4.68,4,3,0.27,0,1.7
cyw iâr,reis,N,1.43,4.8,4.86,4,0.27,0,1.47
bocs,lifft,N,1.32,4.9,4.79,4,0.27,0,1.28
menyn,tatws,N,1.22,4.9,4.85,4,0.27,0,1.19
fflat,dodrefn,N,1.28,4.9,4.89,4,0.27,0,1.72
llyn,cors,N,4.92,4.88,4.96,4,0.27,0,1.6
salad,finegr,N,1.13,4.97,4.89,4,0.27,0,1.65
blodyn,bwlb,N,4.48,5,4.93,4,0.27,0,1.27
cwmwl,niwl,N,6.67,4.54,4.51,3,0.26,0,1.43
gyrrwr,peilot,N,6.28,4.71,4.67,3,0.26,0,1.52
siwgr,mêl,N,5.13,4.87,4.88,4,0.26,0,1.07
corff,ysgwyth,N,2.88,4.79,4.93,4,0.25,0,1.47
syniad,delwedd,N,3.55,1.61,3.85,2,0.24,0,1.47
tad,brawd,N,4.2,4.52,4.43,3,0.24,0,1.28
lleuad,planed,N,5.87,4.9,4.58,4,0.24,0,1.57
pêl,gwisg,N,2.32,5,4.57,4,0.24,0,1.02
reilen,ffens,N,5.22,4.9,4.82,4,0.24,0,1.17
ystafell,gwely,N,2.35,4.79,5,4,0.24,0,1.31
blodyn,llwyn,N,4.25,5,4.9,4,0.24,0,1.66
asgwrn,pen-glin,N,4.17,4.9,5,4,0.24,0,1.64
braich,pen-glin,N,2.75,4.96,5,4,0.24,0,0.59
gwaelod,ochr,N,2.63,4.25,3.68,3,0.22,0,1.51
llestr,gwythien,N,5.15,4.66,4.63,3,0.22,0,1.55
cath,cwningen,N,2.37,4.86,4.93,4,0.22,0,1.67
cig,brechdan,N,2.35,4.9,4.9,4,0.22,0,1.69
cred,cysyniad,N,5.08,1.19,1.41,1,0.21,0,1.44
deallusrwydd,mewnwelediad,N,5.9,2.24,1.72,1,0.21,0,1.59
sylw,diddordeb,N,7.22,2.3,1.8,1,0.21,0,1.21
agwedd,hyder,N,4.35,1.97,2.17,1,0.21,0,1.22
hawl,cyfiawnder,N,7.05,3.47,1.45,1,0.21,0,1.52
dadl,cytundeb,N,1.45,2.85,2.22,1,0.21,0,1.36
dyfnder,maint,N,6.12,3.11,2.43,2,0.21,0,1.64
cyfrwng,newyddion,N,3.65,3,3.41,2,0.21,0,1.3
enillydd,ymgeisydd,N,2.78,3.21,3.81,2,0.21,0,1.29
penblwydd,dyddiad,N,5.08,3.2,3.9,2,0.21,0,1.2
ffi,taliad,N,7.15,3.89,3.91,3,0.21,0,1.56
beibl,emyn,N,5.15,4.61,4.04,3,0.21,0,1.08
allanfa,drws,N,5.5,3.93,4.75,3,0.21,0,1.73
dyn,gwyliwr,N,3.25,4.79,4.04,3,0.21,0,1.22
eil,neuadd,N,6.35,4.35,4.67,3,0.21,0,0.96
wisgi,gin,N,6.28,4.74,4.46,3,0.21,0,1.14
gwaed,mêr,N,3.4,4.86,4.48,3,0.21,0,1.17
olew,minc,N,1.23,4.93,4.58,4,0.21,0,1.53
llawr,dec,N,5.55,4.8,4.77,4,0.21,0,1.06
tô,llawr,N,2.62,4.79,4.8,4,0.21,0,1.66
drws,llawr,N,1.67,4.81,4.8,4,0.21,0,0.39
ysgwydd,pen,N,3.42,4.93,4.75,4,0.21,0,1.14
wagen,cerbyd,N,7.7,4.89,4.86,4,0.21,0,1.84
car,cerbyd,N,5.13,4.89,4.86,4,0.21,0,1.2
penelin,pigwrn,N,3.13,5,4.81,4,0.21,0,1.48
cyfoeth,enwogrwydd,N,4.02,2.63,1.96,1,0.2,0,1.1
tristwch,cywilydd,N,4.77,2.36,2.24,1,0.2,0,1.52
gweinyddiaeth,rheolaeth,N,7.25,2.78,2.72,2,0.2,0,1.67
cyfathrebu,sgwrs,N,8.02,2.9,3.28,2,0.2,0,0.88
llygredd,awyrgylch,N,4.25,3.75,3.04,2,0.2,0,0.98
anatomeg,bioleg,N,5.33,3.59,3.48,2,0.2,0,1.37
coleg,proffesiwn,N,3.12,4.62,2.83,3,0.2,0,1.41
llyfr,pwnc,N,2.07,4.9,2.59,3,0.2,0,1.22
fformiwla,hafaliad,N,7.95,4.11,3.65,3,0.2,0,0.56
llyfr,gwybodaeth,N,5,4.9,2.87,3,0.2,0,1.13
bachgen,partner,N,1.9,4.76,3.53,3,0.2,0,1.54
awyr,bydysawd,N,4.68,4.45,3.85,3,0.2,0,1.39
poblogaeth,pobl,N,7.68,3.64,4.82,3,0.2,0,0.8
coleg,dosbarth,N,4.13,4.62,3.85,3,0.2,0,1.16
pennaeth,maer,N,4.85,4.26,4.37,3,0.2,0,1.25
rabbi,gweinidog,N,7.62,4.64,4.22,3,0.2,0,1.35
metr,modfedd,N,5.08,4.7,4.37,3,0.2,0,1.19
polyester,cotwm,N,5.63,4.12,4.97,3,0.2,0,1.53
cyfreithwr,banciwr,N,1.88,4.7,4.43,3,0.2,0,1.18
ffidil,offeryn,N,6.58,4.96,4.27,3,0.2,0,1.39
gwersyll,caban,N,4.2,4.35,4.92,3,0.2,0,1.2
pot,teclyn,N,2.53,4.81,4.57,3,0.2,0,1.26
lliain,ffabrig,N,7.47,4.8,4.63,3,0.2,0,1.26
wisgi,siampên,N,5.33,4.74,4.82,4,0.2,0,1.29
merch,plentyn,N,5.38,4.85,4.78,4,0.2,0,1.21
bwthyn,caban,N,7.72,4.85,4.92,4,0.2,0,1.47
aderyn,iâr,N,7.03,5,4.9,4,0.2,0,1.43
mwster,sŵn,N,8.1,4.26,3.52,3,0.19,0,1.49
machlyd,noswaith,N,5.98,4.54,3.26,3,0.19,0,1.35
gwlithlaw,glaw,N,9.17,4.21,4.97,3,0.19,0,0.39
oedolyn,babi,N,2.22,4.4,5,3,0.19,0,0.39
siarcol,glo,N,7.63,4.85,4.66,4,0.19,0,1.43
corff,asgwrn cefn,N,4.78,4.79,4.88,4,0.19,0,1.22
pen,hoelen,N,2.47,4.75,4.93,4,0.19,0,1.4
log,pren,N,8.05,4.96,4.9,4,0.19,0,1.12
llwy,cwpan,N,2.02,4.96,5,4,0.19,0,0.9
corff,nerf,N,3.13,4.79,3.89,3,0.18,0,1.12
dyn,gŵr,N,5.32,4.79,4.11,3,0.18,0,1.71
asgwrn,gwddf,N,2.53,4.9,5,4,0.18,0,1.05
rhwystredigaeth,dicter,N,6.5,2.06,2.41,1,0.17,0,0.39
afon,môr,N,5.72,4.89,4.79,4,0.17,0,0.39
tasg,swydd,N,8.87,2.84,3.19,2,0.16,0,1.75
clwb,cymdeithas,N,5.23,3.78,2.54,2,0.16,0,1.59
adlewyrchiad,delwedd,N,7.27,3.29,3.85,2,0.16,0,1.06
tywysog,brenin,N,5.92,4.44,4.1,3,0.16,0,1.05
eira,tywydd,N,5.48,4.85,3.83,3,0.16,0,1.36
pobl,parti,N,2.2,4.82,3.89,3,0.16,0,1.42
bachgen,brawd,N,6.67,4.76,4.43,3,0.16,0,1.58
gwraidd,glaswellt,N,3.55,4.34,4.93,3,0.16,0,1.35
ael,llygad,N,3.82,4.39,4.9,3,0.16,0,1.41
arian,perl,N,2.1,4.54,4.87,3,0.16,0,1.94
arian,diamwnt,N,3.42,4.54,4.89,3,0.16,0,1.37
cerbyd,bws,N,6.47,4.64,4.9,4,0.16,0,1.38
cab,bws,N,5.6,4.88,4.9,4,0.16,0,1.64
tŷ,ysgubor,N,4.33,5,4.79,4,0.16,0,1.6
bys,cledr,N,3.33,5,4.83,4,0.16,0,1.5
car,pont,N,0.95,4.89,4.97,4,0.16,0,1.2
ymdrech,anhawster,N,4.45,2.33,1.9,1,0.15,0,1.22
ffaith,mewnwelediad,N,4.77,2.72,1.72,1,0.15,0,1.11
swydd,rheolaeth,N,3.97,3.19,2.72,2,0.15,0,1.33
canser,salwch,N,7.93,3.86,3.45,2,0.15,0,1.57
gair,papur newydd,N,2.47,3.56,4.82,3,0.15,0,0.94
cyfansoddwr,ysgrifennwr,N,6.58,4.37,4.32,3,0.15,0,0.8
actor,canwr,N,4.52,4.57,4.62,3,0.15,0,1.26
lloches,cwt,N,6.47,4.64,4.65,3,0.15,0,1.59
ystafell ymolchi,cegin,N,3.1,4.52,4.97,4,0.15,0,1.22
caban,cwt,N,6.53,4.92,4.65,4,0.15,0,1.37
drws,cegin,N,1.67,4.81,4.97,4,0.15,0,0.44
gwerth,cred,N,7.07,1.62,1.19,1,0.14,0,0.95
doethineb,deallusrwydd,N,7.47,1.53,2.24,1,0.14,0,1.33
anwybodaeth,deallusrwydd,N,1.5,1.6,2.24,1,0.14,0,1.3
hapusrwydd,lwc,N,2.38,2.6,1.33,1,0.14,0,1.2
syniad,cynllun,N,6.75,1.61,2.41,1,0.14,0,1.47
hwyl,emosiwn,N,8.12,1.75,2.44,1,0.14,0,1.64
hapusrwydd,heddwch,N,6.03,2.6,1.62,1,0.14,0,1.35
anobaith,diflastod,N,7.22,2.21,2.04,1,0.14,0,1.06
rhesymeg,rhifyddeg,N,3.97,1.72,2.74,1,0.14,0,1.81
gwadu,cyfaddefiad,N,1.03,2.46,2.4,1,0.14,0,1.64
dadl,beirniadaeth,N,5.08,2.85,2.07,1,0.14,0,1.07
ymosodedd,gelyniaeth,N,8.48,2.68,2.24,1,0.14,0,0.44
hysteria,dryswch,N,6.33,2.86,2.24,1,0.14,0,0.44
cemeg,theori,N,3.17,3.64,1.47,1,0.14,0,1.4
treial,dyfarniad,N,3.33,3.07,2.19,2,0.14,0,1.18
cysur,diogelwch,N,5.8,2.89,2.37,2,0.14,0,1.21
hyder,hunan,N,3.12,2.17,3.1,2,0.14,0,1.24
golwg,canfyddiad,N,6.88,3.39,2,2,0.14,0,1.31
oes,degawd,N,5.4,2.24,3.19,2,0.14,0,1.02
bywgraffiad,ffuglen,N,1.38,3.39,2.14,2,0.14,0,1.24
trafodaeth,dadl,N,5.48,3.07,2.85,2,0.14,0,1.43
cod,symbol,N,6.03,3,3.11,2,0.14,0,1.67
peryg,afiechyd,N,3,2.68,3.45,2,0.14,0,0.44
damwain,trychineb,N,5.9,3.26,2.96,2,0.14,0,1.63
siwrne,taith,N,8.88,2.57,3.71,2,0.14,0,1.14
gweithgaredd,symudiad,N,7.15,2.72,3.63,2,0.14,0,1.1
clecs,newyddion,N,5.22,3,3.41,2,0.14,0,1.21
tad,dyw,N,3.57,4.52,2.07,2,0.14,0,1.31
gweithgaredd,cwrs,N,5.45,2.86,3.82,2,0.14,0,1.75
twymyn,salwch,N,7.65,3.27,3.54,2,0.14,0,1.54
hedfan,ehediad,N,8.18,3.39,3.9,2,0.14,0,1.83
gêm,gweithgaredd,N,4.85,4.5,2.86,2,0.14,0,1.12
moleciwl,aer,N,3.05,3.27,4.11,2,0.14,0,1.84
cartref,cyflwr,N,2.58,4.11,3.52,3,0.14,0,1.6
gair,llenyddiaeth,N,4.77,3.56,4.1,3,0.14,0,0.59
oedolyn,gwarcheidwad,N,6.9,4.4,3.28,3,0.14,0,1.19
papur newydd,gwybodaeth,N,5.65,4.82,2.87,3,0.14,0,1.31
cyfathrebu,teledu,N,5.6,2.9,4.83,3,0.14,0,1.27
cefnder,ewythr,N,4.63,3.7,4.24,3,0.14,0,1.84
awdur,darllenwr,N,1.6,4.26,3.89,3,0.14,0,1.47
boi,partner,N,3.57,4.68,3.53,3,0.14,0,1.24
arwynebedd,cornel,N,2.07,3.72,4.61,3,0.14,0,1.41
baled,cân,N,7.53,3.88,4.46,3,0.14,0,0.84
wal,addurn,N,2.62,4.86,3.53,3,0.14,0,0.89
gair,tudalen,N,2.92,3.56,4.9,3,0.14,0,0.99
nyrs,gwyddonydd,N,2.08,4.39,4.24,3,0.14,0,1.06
gwleidydd,arlywydd,N,7.38,4.33,4.4,3,0.14,0,1.05
arlywydd,maer,N,5.68,4.4,4.37,3,0.14,0,1.4
llyfr,traethawd,N,4.72,4.9,3.97,3,0.14,0,1.3
dyn,rhyfelwr,N,4.72,4.79,4.17,3,0.14,0,1.03
erthygl,cyfnodolyn,N,6.18,4.33,4.63,3,0.14,0,1.45
brecwast,swper,N,4.4,4.43,4.63,3,0.14,0,1.47
torf,gorymdaith,N,3.93,4.52,4.54,3,0.14,0,1.05
eil,cyntedd,N,6.75,4.35,4.74,3,0.14,0,1.36
athro,rabbi,N,4.37,4.52,4.64,3,0.14,0,1.12
clun,gwefus,N,1.43,4.21,4.96,3,0.14,0,1.45
llyfr,erthygl,N,5.43,4.9,4.33,3,0.14,0,0.95
ystafell,cell,N,4.58,4.79,4.44,3,0.14,0,1.28
bocs,bwth,N,3.8,4.9,4.42,3,0.14,0,1.38
merch,plentyn,N,4.17,4.79,4.56,3,0.14,0,1.24
aelod,coes,N,6.9,4.64,4.83,4,0.14,0,1.23
iau,ysgyfaint,N,2.7,4.68,4.82,4,0.14,0,1.38
ystafell dosbarth,cyntedd,N,2,4.76,4.74,4,0.14,0,1.23
mynydd,silff,N,3.73,4.96,4.72,4,0.14,0,1.21
car,lifft,N,1.03,4.89,4.79,4,0.14,0,1.19
gwely,soffa,N,3.42,5,4.71,4,0.14,0,1.85
dillad,botwm,N,2.3,4.76,4.96,4,0.14,0,1.44
dillad,cot,N,5.35,4.76,4.97,4,0.14,0,1.37
aren,organ,N,6.17,4.96,4.77,4,0.14,0,0.95
afal,saws,N,1.43,5,4.75,4,0.14,0,2.11
cyw iâr,stêc,N,3.73,4.8,4.96,4,0.14,0,1.39
car,pibell,N,0.87,4.89,4.87,4,0.14,0,0.78
tybaco,sigarét,N,7.5,4.88,4.88,4,0.14,0,1.49
myfyriwr,athro,N,1.95,4.92,4.86,4,0.14,0,1.13
babi,merch,N,5,5,4.79,4,0.14,0,1.29
pibell,sigâr,N,6.03,4.88,4.93,4,0.14,0,1.01
llaeth,sudd,N,4.05,4.92,4.89,4,0.14,0,1.46
bocs,sigâr,N,1.25,4.9,4.93,4,0.14,0,1.89
fflat,gwesty,N,3.33,4.9,4.93,4,0.14,0,1.18
cwpan,côn,N,3.17,5,4.86,4,0.14,0,1.13
ceffyl,ych,N,3.02,5,4.86,4,0.14,0,1.18
gwddf,trwyn,N,2.8,4.97,4.89,4,0.14,0,1.12
asgwrn,dant,N,4.17,4.9,4.96,4,0.14,0,1.92
asgwrn,penelin,N,3.78,4.9,5,4,0.14,0,1.58
bacwn,ffa,N,1.22,4.9,5,4,0.14,0,0.92
cwpan,jar,N,5.13,5,5,4,0.14,0,1.17
prawf,ffaith,N,7.3,2.67,2.72,2,0.13,0,1.7
apwyntiad,dyweddïad,N,6.75,3,2.75,2,0.13,0,1.59
penblwydd,blwyddyn,N,1.67,3.2,3.25,2,0.13,0,1.69
gair,cliw,N,2.53,3.56,2.93,2,0.13,0,1.65
awdur,crëwr,N,8.02,4.26,3.07,2,0.13,0,1.5
atom,carbon,N,3.1,3.34,4.22,3,0.13,0,0.93
archesgob,esgob,N,7.05,4.14,4.21,3,0.13,0,1.59
llythyr,paragraff,N,4,4.7,3.96,3,0.13,0,1.12
tudalen,paragraff,N,3.03,4.9,3.96,3,0.13,0,1.37
clochdy,capel,N,7.08,4.74,4.6,3,0.13,0,1.03
cyhyr,asgwrn,N,3.65,4.5,4.9,3,0.13,0,1.68
cyhyr,tafod,N,5,4.5,4.93,3,0.13,0,1.65
bachgen,milwr,N,2.15,4.76,4.72,4,0.13,0,1.51
bol,abdomen,N,8.13,4.8,4.7,4,0.13,0,1.53
boi,merch,N,3.33,4.68,4.85,4,0.13,0,1.9
gwely,cadair,N,3.5,5,4.58,4,0.13,0,1.26
dillad,siaced,N,5.15,4.76,4.86,4,0.13,0,0.74
dryll,cyllell,N,3.65,4.83,4.9,4,0.13,0,1.03
tun,metel,N,5.63,4.87,4.87,4,0.13,0,1.15
potel,cynhwysydd,N,7.93,4.91,4.85,4,0.13,0,1.38
iâr,twrci,N,6.13,4.9,4.89,4,0.13,0,1.6
cig,bara,N,1.67,4.9,4.92,4,0.13,0,1.62
braich,asgwrn,N,3.83,4.96,4.9,4,0.13,0,1.94
gwddf,asgwrn cefn,N,5.32,5,4.88,4,0.13,0,1.16
afal,lemwn,N,4.05,5,5,4,0.13,0,1.58
dirboen,galar,N,7.63,2.38,2.7,1,0.12,0,1.94
aseiniad,tasg,N,8.7,3.86,2.84,2,0.12,0,1.37
nos,gwawr,N,2.95,4.52,4.46,3,0.12,0,1.53
cinio,cawl,N,3.72,4.5,4.72,3,0.12,0,1.89
llo,tarw,N,4.93,4.48,4.85,3,0.12,0,1.67
eira,storm,N,4.8,4.85,4.7,4,0.12,0,0.88
ewinedd,llaw,N,3.42,4.93,4.72,4,0.12,0,1.14
ci,ceffyl,N,2.38,4.85,5,4,0.12,0,1.39
braich,gwddf,N,1.58,4.96,5,4,0.12,0,0.72
pêl,maneg,N,1.75,5,4.97,4,0.12,0,1.27
ffliw,twymyn,N,6.08,3.65,3.27,2,0.11,0,1.58
ffi,cyflog,N,3.72,3.89,3.69,3,0.11,0,1.26
nerf,ymenydd,N,3.88,3.89,4.69,3,0.11,0,1.74
bwystfil,anifail,N,7.83,4.63,4.61,3,0.11,0,1.64
cinio,cyw iâr,N,2.85,4.5,4.8,3,0.11,0,1.5
merch,morwyn,N,2.93,4.85,4.64,4,0.11,0,0.9
plentyn,bachgen,N,5.75,4.78,4.76,4,0.11,0,1.82
alcohol,gwin,N,7.42,4.76,4.79,4,0.11,0,1.53
trwyn,ceg,N,3.73,4.89,4.74,4,0.11,0,1.5
stryd,car,N,2.38,4.75,4.89,4,0.11,0,1.16
cloch,drws,N,2.2,4.96,4.81,4,0.11,0,1.46
bocs,het,N,1.3,4.9,4.88,4,0.11,0,1.15
cred,argraff,N,5.95,1.19,2.23,1,0.1,0,0.72
gogwydd,barn,N,5.6,1.68,1.93,1,0.1,0,1.16
sylw,ymwybyddiaeth,N,8.73,2.3,1.84,1,0.1,0,1.64
dicter,hwyl,N,4.1,2.41,1.75,1,0.1,0,1.87
ceinder,steil,N,5.72,2.18,2.67,1,0.1,0,1.76
prydfrethwch,oedran,N,1.58,2.93,2.86,2,0.1,0,1.54
llyfr,thema,N,2.58,4.9,2.72,3,0.1,0,0.81
ffrind,mam,N,2.53,3.07,4.6,3,0.1,0,1.54
fitamin,haearn,N,5.55,4.48,4.59,3,0.1,0,1.14
car,ffatri,N,2.75,4.89,4.76,4,0.1,0,1.43
cytundeb,amod,N,2.45,2.52,2.15,1,0,0,1.59
pennod,dewis,N,0.48,3.43,1.9,2,0,0,0.86
rhifyddeg,rhythm,N,2.35,2.74,3.07,2,0,0,2.08
enillydd,presenoldeb,N,1.08,3.21,2.72,2,0,0,1.12
cred,blodyn,N,0.4,1.19,5,2,0,0,1.19
enillydd,gôl,N,3.23,3.21,3.06,2,0,0,1.67
tric,maint,N,0.48,3.36,3.13,2,0,0,0.59
dewis,gwythien,N,0.98,1.9,4.63,2,0,0,1.11
emyn,gorchfygiad,N,0.68,4.04,2.54,2,0,0,0.88
dygnwch,band,N,0.4,2,4.68,2,0,0,0.44
carchar,dewis,N,1.08,4.83,1.9,2,0,0,1.08
amod,bachgen,N,0.48,2.15,4.76,2,0,0,0.8
blodyn,dygnwch,N,0.4,5,2,2,0,0,1.7
twll,cytundeb,N,0.3,4.81,2.22,2,0,0,1.72
doctor,tymer,N,0.48,4.69,2.56,2,0,0,1.44
brawdgarwch,drws,N,0.68,2.46,4.81,2,0,0,0.94
tasg,mewyn,N,0.68,2.84,4.46,2,0,0,0.34
brawdgarwch,pêl fas,N,0.88,2.46,4.86,2,0,0,0.98
sent,maint,N,0.4,4.19,3.13,2,0,0,1.24
presenoldeb,drws,N,0.48,2.72,4.81,3,0,0,0.83
llygoden,rheolaeth,N,0.48,4.83,2.72,3,0,0,1.59
tasg,traffordd,N,0.48,2.84,4.72,3,0,0,1.34
gwirod,canrif,N,0.4,4.73,2.83,3,0,0,1.31
tasg,gwellt,N,0.68,2.84,4.77,3,0,0,1.53
ynys,tasg,N,0.3,4.96,2.84,3,0,0,0.96
nos,pennod,N,0.48,4.52,3.43,3,0,0,0.92
llygredd,arlywydd,N,0.68,3.75,4.4,3,0,0,1.6
dryll,tric,N,0.48,4.83,3.36,3,0,0,1.41
bath,tric,N,0.58,4.85,3.36,3,0,0,1.28
deiet,afal,N,1.18,3.21,5,3,0,0,1.56
sent,gwraig,N,0.58,4.19,4.13,3,0,0,1.7
pennod,cynffon,N,0.3,3.43,4.96,3,0,0,1.57
cwrs,ystymog,N,0.58,3.82,4.89,3,0,0,0.87
emyn,gwellt,N,0.4,4.04,4.77,3,0,0,1.64
deintydd,cyrnol,N,0.4,4.93,3.89,3,0,0,1.7
gwraig,gwellt,N,0.4,4.13,4.77,3,0,0,1.53
twll,gwraig,N,0.68,4.81,4.13,3,0,0,1.18
disgybl,arlywydd,N,0.78,4.55,4.4,3,0,0,1.28
bath,gwraig,N,0.48,4.85,4.13,3,0,0,1.42
pobl,sent,N,0.48,4.82,4.19,3,0,0,1.61
fformiwla,log,N,1.77,4.11,4.96,3,0,0,1.51
menyw,ffwr,N,0.58,4.46,4.69,3,0,0,0.99
afal,heulwen,N,0.58,5,4.21,3,0,0,1.2
dryll,gwawr,N,1.18,4.83,4.46,3,0,0,1.57
pryd bwyd,canol,N,0.98,4.62,4.72,3,0,0,1.58
camera,arlywydd,N,0.48,5,4.4,3,0,0,1.56
gwirod,band,N,0.68,4.73,4.68,3,0,0,0.91
ystymog,gwythien,N,2.35,4.89,4.63,4,0,0,1.2
dryll,ffwr,N,0.3,4.83,4.69,4,0,0,1.8
soffa,pêl fas,N,0.88,4.71,4.86,4,0,0,1.32
gweithwr,camera,N,0.68,4.59,5,4,0,0,1.21
dec,llygoden,N,0.48,4.77,4.83,4,0,0,1.48
reis,bachgen,N,0.4,4.86,4.76,4,0,0,1.72
pobl,dryll,N,0.68,4.82,4.83,4,0,0,1.47
clogwyn,cynffon,N,0.3,4.71,4.96,4,0,0,1.57
pigwrn,ffenest,N,0.3,4.81,4.86,4,0,0,1.8
tywysoges,ynys,N,0.3,4.72,4.96,4,0,0,1.36
cynhwysydd,llygoden,N,0.3,4.85,4.83,4,0,0,0.95
wagen,cynhwysydd,N,2.65,4.89,4.85,4,0,0,0.85
pobl,balŵn,N,0.48,4.82,4.92,4,0,0,1.96
doler,pobl,N,0.4,4.93,4.82,4,0,0,1.42
bath,balŵn,N,0.4,4.85,4.92,4,0,0,1.41
ystymog,ystafell gwely,N,0.4,4.89,4.9,4,0,0,0.97
beic,ystafell gwely,N,0.4,4.89,4.9,4,0,0,1.47
log,bath,N,0.4,4.96,4.85,4,0,0,1.63
bowlen,cynffon,N,0.48,4.87,4.96,4,0,0,1
mynd,dod,V,2.42,3.15,2.72,2,5.75,1,1.51
cymryd,dwyn,V,6.18,3.06,3.84,2,3.28,1,1.69
gwrando,clywed,V,8.17,3.47,3.66,2,3.22,1,1.72
meddwl,rhesymoli,V,8.25,2.41,1.52,1,3.17,1,1.13
digwydd,digwydd,V,9.32,1.84,1.78,1,2.87,1,1.34
diflannu,diflannu,V,9.8,2.77,2.86,2,2.76,1,0.46
lluosi,rhannu,V,1.75,2.79,2.86,2,2.53,1,1.32
ymbil,erfyn,V,9.08,2.59,2.96,2,2.5,1,1.26
cychwyn,tarddu,V,8.2,2.56,2.23,1,2.44,1,0.75
amddiffyn,gwarchod,V,9.13,2.86,2.31,1,2.28,1,1.29
ladd,dinistrio,V,5.9,3.9,3.08,2,2,1,1.93
creu,gwneud,V,8.72,2.62,2.67,2,1.72,1,1.14
derbyn,gwrthod,V,0.83,3.03,2.4,2,1.69,1,1.28
anwybyddu,osgoi,V,6.87,2.22,2.41,1,1.56,1,1.22
cario,dod,V,5.8,4.04,2.55,2,1.37,1,1.24
gadael,mynd mewn,V,0.95,2.53,3.12,2,1.3,1,1.91
dewis,ethol,V,7.62,2.62,2.41,1,1.28,1,1.14
colli,methu,V,7.33,2.25,3,2,1.28,1,1.79
annog,digalonni,V,1.58,2.61,1.9,1,1.23,1,1.55
cyflawni,cwblhau,V,8.57,2.29,2.33,1,1.22,1,0.94
gwneud,adeiladu,V,8.33,2.67,2.6,2,1.2,1,0.85
gwrando,ufuddhau,V,4.93,3.47,2.67,2,1.19,1,1.33
hysbysebu,datgan,V,9.25,2.25,3.04,2,1.15,1,0.44
derbyn,rhoi,V,1.47,2.69,2.83,2,1.11,1,1.19
